Yelp ID,Business name,Category,Average star rating,Review count,Price,Ambience,mean_compound,pct_positive,pct_negative,cluster
iJB11vo9oN6HuZ-qpxKseQ,Oscar Bar Cafe,"Gay Bars, Danish, Party & Event Planning",4.0,24,$,cozy,0.473,71.4,0.0,0
qAk2DMJgnQkubc76kupVIg,LêLê Street Kitchen Vesterbro,"Vietnamese, Food Delivery Services",3.6,28,$,,0.133,42.9,42.9,0
BizDrQ47YKN9_ZmcMHVG_w,Il Grappolo Blu,Italian,4.1,9,,,,,,5
ah8-o7ePvYlDGq6swW9LPw,Johns Hotdog Deli,Hot Dogs,4.4,16,,,,,,3
sToVJMxsbFGd_Rp9ITtBNA,Fredco's Deli,"Salad, Sandwiches",4.4,5,$,,,,,0
-XBzl8A6j31bUfj0Thes9Q,Café Trold,"Breakfast & Brunch, Bars, Danish",4.0,6,,,,,,5
Ql6OilkTKwjrtzDgSPfAJg,PUBLIC - The Italian Social Dining Bar,Italian,5.0,3,,,,,,3
bHSgWYf8tFLnP_z1pBfknQ,La Mensa Di Benito,"Food, Pizza",4.3,7,$$,,,,,3
L81UmGObLGrwNOx8jIzwLA,Lundgren V.I.P.,"Beer, Wine & Spirits, Tapas/Small Plates, Delis",3.9,23,$$,,0.455,80.0,20.0,5
cpSY6riPU6ev7cQhGI-EHQ,Cocks & Cows,Burgers,3.4,139,$$,,0.601,85.7,0.0,6
bKAJ1aOCA6AJTrZUb8l6Yg,Pho Saigon,Vietnamese,3.7,56,$,,0.611,100.0,0.0,6
DBDMpjrIM32ouTobKL3RNw,Da Salvo,"Pizza, Italian",3.7,15,$,,0.451,71.4,28.6,0
10P1VnQlyxFY8sKCR5x_eA,Floras Steakhouse,Steakhouses,3.8,16,$$,,0.817,100.0,0.0,5
6-M4t5b-HlxQkZyeNRqimA,Gasoline Grill,"Burgers, Fast Food",4.8,5,,,,,,3
u1i1EJbonoTQD0FsqOgH9w,Les Trois Cochons,French,3.9,51,$$$,cozy,0.784,100.0,0.0,2
4My2yhGh8kIuMIiV23l7nA,Sticks'n'Sushi,"Sushi Bars, Lounges, Cocktail Bars",4.2,9,,,,,,3
ILSKTOnVyJkZ37g3Rh3jlw,Thai Corner,Thai,3.9,18,$,,0.482,85.7,14.3,0
OlyZUbwTZ2SGKPinEh7efQ,Restaurant Flammen,"Salad, Buffets, Barbeque",3.6,35,$$,,0.282,57.1,28.6,5
-hgFcHfSe56HSll2kyS_ug,La Fiesta Mexicana,Mexican,3.6,19,$$,,0.163,57.1,28.6,5
lgodTpuCucirKKpFpsg2YA,Kiin Kiin Tok Tok,Thai,4.7,3,,,,,,3
