Yelp ID,Business name,Category,cluster
gPIDM2H6y_eSly3vc5jIYQ,Restaurant Taormina,Italian,2
Xu3gMeCBuvQj8ytU6A71BA,Reffen Skøjteøen - Copenhagen Street Food,Public Markets  Food Stands,0
MQNELlGuUPqxxLux3JHbmg,Cap Horn,Scandinavian,2
n1SK8zMzbGrwrWLKKCanFw,Det Simrer,Breakfast and Brunch  Danish,0
1v5HhnqcOQ_6mnqTY5gP0w,Toldboden,Breakfast and Brunch  Fish and Chips  Cocktail Bars,0
dYjsMKzXYPx8C0sXOjI_cg,2fresh,Sandwiches  Bagels  Juice Bars and Smoothies,0
PvSXC4ff8qkMH7-ss7flTw,The Union Kitchen,Breakfast and Brunch  Cocktail Bars  Modern European,0
C061Z9JMNtHuivJi3EMfGA,Frihavn Pizzaria,Pizza,0
CpP26NoqAePCd5A4ZBX6ig,Restaurant Vietnam,Vietnamese,2
ki-5x0hQ73QKWaDIgqJXvQ,Brasserie Barner,French  Brasseries,0
7aAvVtbCmt4IdLvEtmTNZQ,Nordisk Falafel,Falafel  Vegan  Vegetarian,0
oE2LbMCk_JRGAstqtmapSw,Pizza D'Italia,Pizza  Italian  Sandwiches,0
pjfPRpyaHm7nwloRDejrjA,The Vietnamese,Vietnamese,2
CD-0ZTk98D27gEJ8XHkl8A,Alchemist,Restaurants,0
mMDq90p0RUytcmrlrPDzoQ,Cafe Oscar,Open Sandwiches  Breakfast and Brunch,0
JI0zGTU1mrWStWATzGuqTw,Østerbros Originale Burgerrestaurant,Burgers,0
jjmQEZpFcChy_L7lXFhCng,Yuca Taco,Mexican  Food Trucks,0
rCh0EfG9C1n6aWOqG1fwoQ,Iki Sushi,Sushi Bars  Japanese,0
2di_YHxnj8i68jG1O1t4pA,Izumi Østerbro,Sushi Bars,0
i45KynHOMWXBJtevd2_F-Q,The Pescatarian,Seafood  Danish  Scandinavian,2
JS1H2-_yTIsGV6bAmSzLkg,Hachi Sushi,Sushi Bars  Japanese,0
2qYBnWxPd-26kg1RiayooA,Noma,Modern European  Danish  Scandinavian,2
b2amu72HeR0HFzvn1KxLJg,SALT Bar & Restaurant,Modern European  Bars  Scandinavian,0
7F1957mvoWoYrMyvPyJ6Hg,The Taco Shop 2,Mexican,2
l5ylSmPAOK6gFXNQVCVoZg,Hummer,Seafood,0
EPFMU8Sz1lDqwbDpucLyYw,Oranje,Bistros,0
iLVnegujv80sLbtIPF4V6w,Restaurant Marv og Ben,Scandinavian,2
Nx45B9EnDsAgtZi-t8JZQA,OTTO,Modern European,2
pFvI3g1696qTnfRURM2KYg,The Red Box,French  Asian Fusion,2
tP1EcpiJaiwAmKsh53I1pg,Famo Metro,Italian,2
Rwf-04v-R8Y3QHpmjGX99g,Sticks'n'Sushi,Sushi Bars  Cocktail Bars,0
uFX3W-60kFl3Bjlr-5XneA,Venezia,Italian,2
2UYHNOfah_bu7SyuMSsPlw,Kebabistan,Kebab  Pizza  Imported Food,0
ueg4UPGLIQXjPeJL_2VDcw,Marchal,Scandinavian  French,2
pV2FbfM8szaUWKlEzv3lTQ,Mo's Pizza,Italian  Pizza,0
YINogRFgK-KyazW8dGANSg,Palæ Bar,Dive Bars  Restaurants,0
6POs0yPjaYaogWjm18rGPQ,Sam's Pizza,Pizza,0
sMNs5QThzwxpRADLrqrXJg,Il Gusto Giusto,Italian  Pizza,0
