Yelp ID,Business name,Average star rating,Price,review_snippets,mean_compound,pct_positive,pct_neutral,pct_negative
VrDIXmeFRgyx8LnQiqFLfA,Le Kaff,4.8,$,4,0.747,100.0,0.0,0.0
A3bUmtsktu1fh3Q2EkNphA,Petról,4.8,$$,3,0.745,100.0,0.0,0.0
SZnPuN9qP3fDrSOjv1wjLQ,Cassiopeia,4.5,$$,1,0.742,100.0,0.0,0.0
OZz3pObROTUrowUR90_Kag,Reinh. Van Hauen,4.3,$$,4,0.741,100.0,0.0,0.0
6UcRqudsrid-d8O9pit99Q,Woodstock,4.2,$,3,0.74,100.0,0.0,0.0
bEdvvXGhswlw235sN0Purw,Holm's Bager,3.5,$,7,0.74,100.0,0.0,0.0
2Hr1KExRI0BAdKCjNtI9-Q,Starbucks,3.0,$$$,2,0.739,100.0,0.0,0.0
5SIOQE1-Ci9nPqzmYGDXeg,Granola,3.3,$$,7,0.739,100.0,0.0,0.0
RV89djkOXfGk3Y0-iIXnPg,Det Vide Hus,4.1,$,7,0.736,100.0,0.0,0.0
dMD9c3uLReT1el-00fNhUg,Risteriet,3.5,$,2,0.733,100.0,0.0,0.0
jh513qEE97KRklUODXyCGw,Props Coffee Shop,4.1,$$,6,0.732,100.0,0.0,0.0
UcGSl0rzSocfgt6j5JzC4Q,Meyers Bageri,4.1,$$$,3,0.731,100.0,0.0,0.0
MniAPQJoFtnmpb-3216bYQ,Tak For Kaffe,4.0,$,3,0.731,100.0,0.0,0.0
jdak7g6g6eK9guNK8VBfog,Neringa Café,4.5,$,7,0.73,85.7,14.3,0.0
wzUG4fmV5Bdw5u1iLQjA7w,The Coffee Collective,4.6,$,7,0.73,100.0,0.0,0.0
Bo3ixYo_iRqxyNye6zu57A,The Coffee Collective,4.8,$,7,0.729,100.0,0.0,0.0
-d3xgdkPLYZuNwMETg3Avg,Café Spis,4.0,$,4,0.728,100.0,0.0,0.0
ajQJDOjYmz12VMFYBM8TSA,Gestus,4.0,$$,1,0.723,100.0,0.0,0.0
G9nZokxPVAnxsEo1PyLReg,Bowl Market,4.5,$,7,0.72,100.0,0.0,0.0
O8bPJgmgAoMf9njoIlwfow,Souls,4.5,$,7,0.719,100.0,0.0,0.0
J7pb3CA-U1JZwZRDwVm32w,Lauras Bakery,4.3,$$,3,0.719,100.0,0.0,0.0
bTQTOEfXO5TfJjH7Pq2KLw,Café Castro,2.8,$$,1,0.718,100.0,0.0,0.0
MUunkFiMK333b02eKOmZew,Neru,3.2,$$,1,0.718,100.0,0.0,0.0
SEDDO0onNCKZdRZKIeNa8g,Coffee Industry Sweden,4.5,$$$,7,0.718,100.0,0.0,0.0
okydpNhxNHyxJXy79IK1hQ,Feelgood Bakery,4.0,$$,1,0.717,100.0,0.0,0.0
BO9ODUuzeqJveVwhCwVLQw,Hope Bar,4.0,$,7,0.714,85.7,14.3,0.0
